Cód Origem,Type,Voos Semanais,Diário,COMPRIMENTO_MAX,LATITUDE,LONGITUDE,Cod_4000,Dist_4000,Comp_4000,Lat_4000,Lon_4000,Cod_6000,Dist_6000,Comp_6000,Lat_6000,Lon_6000,Cod_8000,Dist_8000,Comp_8000,Lat_8000,Lon_8000,Cod_10000,Dist_10000,Comp_10000,Lat_10000,Lon_10000,Cod_12000,Dist_12000,Comp_12000,Lat_12000,Lon_12000
SBGV,Turboprop,7,True,5580.708661417322,-18.896944444444443,-41.986111111111114,SBGV,0.0,5580.708661417322,-18.896944444444443,-41.986111111111114,SBIP,44.58710966023448,6578.083989501312,-19.470555555555553,-42.488055555555555,SBCF,120.81838840414291,9842.51968503937,-19.624444444444446,-43.971944444444446,SBGL,244.47589438247712,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,244.47589438247712,13123.359580052493,-22.810000000000002,-43.25055555555556
SBHT,Regional Jet,7,True,6571.522309711286,-3.2508333333333335,-52.25222222222222,SBHT,0.0,6571.522309711286,-3.2508333333333335,-52.25222222222222,SBHT,0.0,6571.522309711286,-3.2508333333333335,-52.25222222222222,SBBE,252.52160422130248,9186.351706036745,-1.3847222222222222,-48.47888888888889,SOCA,481.91312512832735,10486.0,4.819809913639999,-52.360401153599994,SLCB,1179.223303085476,12460.0,-17.421100616455078,-66.17710113525389
SBHT,Turboprop,12,False,6571.522309711286,-3.2508333333333335,-52.25222222222222,SBHT,0.0,6571.522309711286,-3.2508333333333335,-52.25222222222222,SBHT,0.0,6571.522309711286,-3.2508333333333335,-52.25222222222222,SBBE,252.52160422130248,9186.351706036745,-1.3847222222222222,-48.47888888888889,SOCA,481.91312512832735,10486.0,4.819809913639999,-52.360401153599994,SLCB,1179.223303085476,12460.0,-17.421100616455078,-66.17710113525389
SBIH,Turboprop,8,False,5265.748031496063,-4.242222222222222,-56.00083333333333,SBIH,0.0,5265.748031496063,-4.242222222222222,-56.00083333333333,SNEL,114.91017696898643,6562.0,-2.666944026947021,-54.90055465698242,SBEG,253.2913191322026,8858.267716535433,-3.041111111111111,-60.050555555555555,SMJP,580.9149048259856,11417.0,5.4528298378,-55.1878013611,SLCB,989.3649599467216,12460.0,-17.421100616455078,-66.17710113525389
SBIL,Narrow Body,19,True,5173.884514435696,-14.815000000000001,-39.03333333333333,SBIL,0.0,5173.884514435696,-14.815000000000001,-39.03333333333333,SBTC,32.23148144408084,6561.679790026246,-15.353333333333333,-38.99722222222222,SBSV,121.2087756513189,9852.36220472441,-12.908611111111112,-38.322500000000005,SBPL,337.585152129358,10662.72965879265,-9.3675,-40.56361111111111,SBGL,534.6265877229498,13123.359580052493,-22.810000000000002,-43.25055555555556
SBIL,Regional Jet,12,False,5173.884514435696,-14.815000000000001,-39.03333333333333,SBIL,0.0,5173.884514435696,-14.815000000000001,-39.03333333333333,SBTC,32.23148144408084,6561.679790026246,-15.353333333333333,-38.99722222222222,SBSV,121.2087756513189,9852.36220472441,-12.908611111111112,-38.322500000000005,SBPL,337.585152129358,10662.72965879265,-9.3675,-40.56361111111111,SBGL,534.6265877229498,13123.359580052493,-22.810000000000002,-43.25055555555556
SBIP,Single Engine,1,False,6578.083989501312,-19.470555555555553,-42.488055555555555,SBIP,0.0,6578.083989501312,-19.470555555555553,-42.488055555555555,SBIP,0.0,6578.083989501312,-19.470555555555553,-42.488055555555555,SBCF,84.58531748730677,9842.51968503937,-19.624444444444446,-43.971944444444446,SBGL,204.17108871468298,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,204.17108871468298,13123.359580052493,-22.810000000000002,-43.25055555555556
SBIP,Turboprop,24,True,6578.083989501312,-19.470555555555553,-42.488055555555555,SBIP,0.0,6578.083989501312,-19.470555555555553,-42.488055555555555,SBIP,0.0,6578.083989501312,-19.470555555555553,-42.488055555555555,SBCF,84.58531748730677,9842.51968503937,-19.624444444444446,-43.971944444444446,SBGL,204.17108871468298,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,204.17108871468298,13123.359580052493,-22.810000000000002,-43.25055555555556
SBIZ,Narrow Body,12,False,5898.950131233595,-5.530555555555556,-47.458333333333336,SBIZ,0.0,5898.950131233595,-5.530555555555556,-47.458333333333336,SBMA,100.97819898426617,6561.679790026246,-5.368055555555555,-49.13805555555555,SBBE,254.99618273631998,9186.351706036745,-1.3847222222222222,-48.47888888888889,SBPL,470.436325468244,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1060.84537496764,13123.359580052493,-22.810000000000002,-43.25055555555556
SBIZ,Regional Jet,6,False,5898.950131233595,-5.530555555555556,-47.458333333333336,SBIZ,0.0,5898.950131233595,-5.530555555555556,-47.458333333333336,SBMA,100.97819898426617,6561.679790026246,-5.368055555555555,-49.13805555555555,SBBE,254.99618273631998,9186.351706036745,-1.3847222222222222,-48.47888888888889,SBPL,470.436325468244,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1060.84537496764,13123.359580052493,-22.810000000000002,-43.25055555555556
SBJA,Narrow Body,5,False,8198.818897637795,-28.67527777777778,-49.06027777777778,SBJA,0.0,8198.818897637795,-28.67527777777778,-49.06027777777778,SBJA,0.0,8198.818897637795,-28.67527777777778,-49.06027777777778,SBJA,0.0,8198.818897637795,-28.67527777777778,-49.06027777777778,SARI,338.68517138113515,10827.0,-25.737301000000002,-54.4734,SBGR,343.17466928103136,12139.107611548556,-23.435555555555556,-46.473055555555554
SBJA,Regional Jet,6,False,8198.818897637795,-28.67527777777778,-49.06027777777778,SBJA,0.0,8198.818897637795,-28.67527777777778,-49.06027777777778,SBJA,0.0,8198.818897637795,-28.67527777777778,-49.06027777777778,SBJA,0.0,8198.818897637795,-28.67527777777778,-49.06027777777778,SARI,338.68517138113515,10827.0,-25.737301000000002,-54.4734,SBGR,343.17466928103136,12139.107611548556,-23.435555555555556,-46.473055555555554
SBJD,Single Engine,5,False,4593.175853018372,-23.18166666666667,-46.94361111111111,SBJD,0.0,4593.175853018372,-23.18166666666667,-46.94361111111111,SBKP,14.852784737625088,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,14.852784737625088,10629.921259842518,-23.006944444444443,-47.13444444444444,SBKP,14.852784737625088,10629.921259842518,-23.006944444444443,-47.13444444444444,SBGR,30.098937507430207,12139.107611548556,-23.435555555555556,-46.473055555555554
SBJE,Narrow Body,3,False,7217.847769028871,-2.9066666666666667,-40.35805555555556,SBJE,0.0,7217.847769028871,-2.9066666666666667,-40.35805555555556,SBJE,0.0,7217.847769028871,-2.9066666666666667,-40.35805555555556,SBPB,82.37972855712049,8202.099737532808,-2.8938888888888887,-41.73027777777778,SBPL,385.9898279307862,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1200.9198109421034,13123.359580052493,-22.810000000000002,-43.25055555555556
